RANK,TEAM,FORWARD CASH,DEFENSE CASH,GOALTENDER CASH,TOTAL CASH,,,,,,,,
1,Toronto Maple Leafs,88441060,22104675,6818280,119155682,,Rk,,GP,W,L,OL,Wpercent
2,Dallas Stars,69017132,26432500,9625000,105524632,,1,Boston Bruins*,70,44,14,12,0.628571429
3,Washington Capitals,64582982,34141416,5907132,104631530,,2,St. Louis Blues*,71,42,19,10,0.591549296
4,New York Islanders,60788356,26967218,13700000,101455574,,3,Tampa Bay Lightning*,70,43,21,6,0.614285714
5,St Louis Blues,58554034,30225286,11942500,100721820,,4,Colorado Avalanche*,70,42,20,8,0.6
6,Tampa Bay Lightning,61126377,29111950,6700000,100533565,,5,Washington Capitals*,69,41,20,8,0.594202899
7,Nashville Predators,67665193,23604803,9042500,100312496,,6,Philadelphia Flyers*,69,41,21,7,0.594202899
8,Vegas Golden Knights,64642251,25318852,10302162,100263265,,7,Vegas Golden Knights*,71,39,24,8,0.549295775
9,Florida Panthers,44126613,36490115,13742500,95542561,,8,Pittsburgh Penguins*,69,40,23,6,0.579710145
10,San Jose Sharks,46176115,39105505,9190000,95221620,,9,Edmonton Oilers*,71,37,25,9,0.521126761
11,Vancouver Canucks,54238868,30675000,8274548,94221749,,10,Dallas Stars*,69,37,24,8,0.536231884
12,Edmonton Oilers,56239252,25258978,10285000,93983230,,11,Columbus Blue Jackets*,70,33,22,15,0.471428571
13,Pittsburgh Penguins,60810719,27024125,5992500,93827344,,12,Toronto Maple Leafs*,70,36,25,9,0.514285714
14,Philadelphia Flyers,55829815,30970791,4285000,93328463,,13,Carolina Hurricanes*,68,38,25,5,0.558823529
15,Minnesota Wild,50758920,34347500,6130000,92453087,,14,Winnipeg Jets*,71,37,28,6,0.521126761
16,Calgary Flames,52969803,27772953,8525000,91934423,,15,New York Islanders*,68,35,23,10,0.514705882
17,New York Rangers,42941729,30456160,9877032,89171405,,16,Calgary Flames*,70,36,27,7,0.514285714
18,Carolina Hurricanes,46630910,32485975,7477500,88927718,,17,New York Rangers*,70,37,28,5,0.528571429
19,Colorado Avalanche,58701705,23215000,5155253,87071958,,18,Vancouver Canucks*,69,36,27,6,0.52173913
20,Columbus Blue Jackets,50448403,31761282,2949125,86617143,,19,Florida Panthers*,69,35,26,8,0.507246377
21,Arizona Coyotes,43875890,32097200,8685000,86602534,,20,Nashville Predators*,69,35,26,8,0.507246377
22,Winnipeg Jets,59521997,18883335,8000000,86405332,,21,Minnesota Wild*,69,35,27,7,0.507246377
23,Buffalo Sabres,53829649,23783760,4867500,85351941,,22,Arizona Coyotes*,70,33,29,8,0.471428571
24,Montreal Canadiens,42897953,24181710,16125219,84571549,,23,Chicago Blackhawks*,70,32,30,8,0.457142857
25,Chicago Blackhawks,47320232,30095596,7037370,84453198,,24,Montreal Canadiens*,71,31,31,9,0.436619718
26,Anaheim Ducks,44327887,23993757,9810000,82039779,,25,New Jersey Devils,69,28,29,12,0.405797101
27,Los Angeles Kings,43547060,21187228,9414517,75815472,,26,Buffalo Sabres,69,30,31,8,0.434782609
28,Boston Bruins,41233795,23904189,9450000,75754650,,27,Anaheim Ducks,71,29,33,9,0.408450704
29,Detroit Red Wings,41975993,16173270,8042500,67858430,,28,Los Angeles Kings,70,29,35,6,0.414285714
30,New Jersey Devils,31715264,26841118,7400000,65956382,,29,San Jose Sharks,70,29,36,5,0.414285714
31,Ottawa Senators,43233915,13653232,8199138,65919618,,30,Ottawa Senators,71,25,34,12,0.352112676
,,,,,,,31,Detroit Red Wings,71,17,49,5,0.23943662
,,,,,,,,League Average,70,35,27,8,0.5
